idx,ref_x,ref_y,road_id,section_id,lane_id,lane_width,left_drivable_width,right_drivable_width,left_boundary_x,left_boundary_y,right_boundary_x,right_boundary_y
192,44.206066,66.237633,152,0,1,3.5,4.725,1.75,47.67755,63.032259,42.920331,67.424808
193,45.98922,67.79705,152,0,1,3.5,4.725,1.75,48.703351,63.929349,44.983986,69.229533
194,48.062111,68.943588,152,0,1,3.5,4.725,1.75,49.895829,64.588924,47.382956,70.556427
195,50.330757,69.625244,152,0,1,3.5,4.725,1.75,51.20092,64.98106,50.008475,71.345312
196,52.640888,69.815872,152,0,1,3.5,4.725,1.75,52.646931,65.090876,52.63865,71.565871
197,54.640888,69.818428,152,0,1,3.5,4.725,1.75,54.646931,65.093432,54.63865,71.568427
198,56.640884,69.820984,152,0,1,3.5,4.725,1.75,56.646927,65.095988,56.638646,71.570982
199,58.6413,69.82354,11,0,1,3.5,4.725,1.75,58.647343,65.098544,58.639062,71.573538
200,60.6413,69.826096,11,0,1,3.5,4.725,1.75,60.647343,65.1011,60.639062,71.576094
201,62.641296,69.828651,11,0,1,3.5,4.725,1.75,62.647339,65.103655,62.639058,71.57865
202,64.641296,69.831207,11,0,1,3.5,4.725,1.75,64.647339,65.106211,64.639058,71.581206
203,66.641296,69.833763,11,0,1,3.5,4.725,1.75,66.647339,65.108767,66.639058,71.583762
204,68.641296,69.836327,11,0,1,3.5,4.725,1.75,68.647339,65.111331,68.639058,71.586325
205,70.641289,69.838882,11,0,1,3.5,4.725,1.75,70.647331,65.113886,70.639051,71.588881
206,72.641289,69.841438,11,0,1,3.5,4.725,1.75,72.647331,65.116442,72.639051,71.591437
207,74.641289,69.843994,11,0,1,3.5,4.725,1.75,74.647331,65.118998,74.639051,71.593993
208,76.641289,69.84655,11,0,1,3.5,4.725,1.75,76.647331,65.121554,76.639051,71.596549
209,78.641289,69.849106,11,0,1,3.5,4.725,1.75,78.647331,65.12411,78.639051,71.599104
210,80.641289,69.851669,11,0,1,3.5,4.725,1.75,80.647331,65.126673,80.639051,71.601668
211,82.641281,69.854225,11,0,1,3.5,4.725,1.75,82.647324,65.129229,82.639043,71.604224
212,84.641281,69.856781,11,0,1,3.5,4.725,1.75,84.647324,65.131785,84.639043,71.60678
213,86.641281,69.859337,712,0,1,3.5,4.725,1.75,86.647324,65.134341,86.639043,71.609335
214,88.641281,69.861893,712,0,1,3.5,4.725,1.75,88.647324,65.136897,88.639043,71.611891
215,90.531113,69.882057,712,0,1,3.5,4.725,1.75,90.833318,65.166732,90.419185,71.628474
216,92.183372,70.143288,712,0,1,3.5,4.725,1.75,93.350569,65.56472,91.751078,71.839053
217,93.759048,70.704941,712,0,1,3.5,4.725,1.75,95.75114,66.420411,93.021237,72.291804
218,95.20401,71.547729,712,0,1,3.5,4.725,1.75,97.952566,67.704415,94.186026,72.971179
219,96.466461,72.640869,712,0,1,3.5,4.725,1.75,99.882346,69.376309,95.201319,73.849965
220,97.489548,73.94426,712,0,1,3.5,4.725,1.75,101.472053,71.401569,96.014546,74.885997
221,98.241379,75.420837,712,0,1,3.5,4.725,1.75,102.640279,73.695931,96.612156,76.059692
222,98.693604,77.014893,712,0,1,3.5,4.725,1.75,103.342965,76.172836,96.971618,77.326765
223,98.829376,78.681244,712,0,1,3.5,4.725,1.75,103.554266,78.713467,97.079417,78.669309
224,98.815735,80.68119,712,0,1,3.5,4.725,1.75,103.540625,80.713414,97.065776,80.669256
225,98.802086,82.681984,712,0,1,3.5,4.725,1.75,103.526976,82.714207,97.052127,82.670049
226,98.788452,84.681931,1,0,2,3.5,5.25,1.75,104.03833,84.717734,97.038493,84.669996
227,98.774811,86.681885,1,0,2,3.5,5.25,1.75,104.024689,86.717688,97.024851,86.66995
228,98.761169,88.681839,1,0,2,3.5,5.25,1.75,104.011047,88.717642,97.01121,88.669904
229,98.747536,90.681793,1,0,2,3.5,5.25,1.75,103.997414,90.717597,96.997576,90.669859
230,98.731262,92.619423,1,0,2,3.5,5.25,1.75,103.980346,92.717514,96.981568,92.586726
231,98.661293,94.402214,1,0,2,3.5,5.25,1.75,103.901917,94.715839,96.914418,94.297672
